56
2
042E657A831E80.042B6E7A831E80|AH
041B797A831E80.0449927A831E80|2H
04A3837A831E80.0426957A831E80|3H
04665F7A831E80.043F697A831E80|4H
0455FB7A831E80.041EAE7A831E80|5H
0447CD7A831E80.042FC77A831E80|6H
04605A7A831E80.0422C37A831E80|7H
0447487A831E80.042D9C7A831E80|8H
0459CB7A831E80.0427C07A831E80|9H
0421B27A831E80.0445A47A831E80|TH
04462C7A831E80.0457247A831E80|JH
0427537A831E80.04225E7A831E80|QH
0449A17A831E80.041E947A831E80|KH
0432E37A831E80.041E7E7A831E80|AD
041B6D7A831E80.041B5F7A831E80|2D
045A917A831E80.045E147A831E84|3D
0456047A831E84.043A967A831E80|4D
0436E67A831E80.042B4E7A831E80|5D
042C587A831E80.042B477A831E80|6D
042F607A831E80.0450E67A831E80|7D
045BE77A831E80.043DFC7A831E80|8D
04215E7A831E80.0459997A831E80|9D
044A477A831E80.0427DF7A831E80|TD
042CAD7A831E80.0457907A831E80|JD
0442597A831E80.0436447A831E80|QD
0452847A831E80.045FCF7A831E80|KD
042BCD7A831E80.0456127A831E84|AC
0454347A831E80.045A8B7A831E80|2C
0464AE7A831E80.0455317A831E80|3C
0446757A831E80.0421527A831E80|4C
0421AE7A831E80.0423B57A831E80|5C
0464FB7A831E80.043ACE7A831E80|6C
043CC17A831E80.04507A7A831E80|7C
04523E7A831E80.0461977A831E80|8C
0455347A831E80.041CA37A831E80|9C
0457C27A831E80.0463EC7A831E80|TC
043C527A831E80.044A857A831E80|JC
0453587A831E80.0421607A831E80|QC
0443507A831E80.04149A7A831E80|KC
0428B17A831E80.041A8F7A831E80|AS
042C6F7A831E80.0439347A831E80|2S
043EAB7A831E80.04419E7A831E80|3S
04387F7A831E80.04606D7A831E80|4S
04482E7A831E80.04226F7A831E80|5S
045B2F7A831E80.0447837A831E80|6S
0452EB7A831E80.042EEA7A831E80|7S
0428BD7A831E80.045C7B7A831E80|8S
044CDA7A831E80.0482D87A831E80|9S
045C247A831E80.0436417A831E80|TS
042C5E7A831E80.0444C37A831E80|JS
0428717A831E80.042EC77A831E80|QS
043DD97A831E80.041E987A831E80|KS
0467F67A831E80.044C2D7A831E80|TJ
0421C27A831E80.042CA47A831E80|JJ
0453357A831E80.041ECA7A831E80|QJ
044D627A831E80.045C6D7A831E80|KJ
